Successfuly read failed26/ADGRA3.fas, in total 298 sequences.
Successfuly read hg38_species_name_cleaned/ADGRE1.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/ADGRE3.fas, in total 353 sequences.
Successfuly read hg38_species_name_cleaned/ADGRF1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ADGRF2.fas, in total 385 sequences.
Successfuly read hg38_species_name_cleaned/ADGRF3.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/ADGRF4.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/ADGRF5.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ADGRG1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ADGRG2.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ADGRG3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ADGRG5.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADGRG6.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ADGRG7.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/ADGRL1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ADGRL2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ADGRL3.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADGRL4.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ADGRV1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ADH1A.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/ADH1C.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/ADH4.fas, in total 359 sequences.
Successfuly read hg38_species_name_cleaned/ADH5.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/ADH6.fas, in total 258 sequences.
Successfuly read hg38_species_name_cleaned/ADH7.fas, in total 225 sequences.
Successfuly read hg38_species_name_cleaned/ADHFE1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ADI1.fas, in total 395 sequences.
Successfuly read hg38_species_name_cleaned/ADIG.fas, in total 122 sequences.
Successfuly read hg38_species_name_cleaned/ADIPOQ.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ADIPOR1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ADIPOR2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ADIRF.fas, in total 391 sequences.
Successfuly read hg38_species_name_cleaned/ADK.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/ADM.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ADM2.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/ADM5.fas, in total 95 sequences.
Successfuly read hg38_species_name_cleaned/ADNP.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/ADNP2.fas, in total 398 sequences.
Successfuly read hg38_species_name_cleaned/ADO.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/ADORA1.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/ADORA2A.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/ADORA2B.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ADORA3.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ADPGK.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/ADPRH.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ADPRM.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ADPRS.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ADRA1A.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ADRA1B.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ADRA1D.fas, in total 363 sequences.
Successfuly read hg38_species_name_cleaned/ADRA2A.fas, in total 365 sequences.
Successfuly read hg38_species_name_cleaned/ADRA2B.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/ADRA2C.fas, in total 308 sequences.
Successfuly read hg38_species_name_cleaned/ADRB1.fas, in total 351 sequences.
Successfuly read hg38_species_name_cleaned/ADRB2.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ADRB3.fas, in total 379 sequences.
Successfuly read hg38_species_name_cleaned/ADRM1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADSL.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/ADSS1.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/ADSS2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ADTRP.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/AEBP1.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/AEBP2.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/AEN.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/AF011889.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/AFAP1.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/AFAP1L1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/AFAP1L2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/AFDN.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/AFF1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/AFF2.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/AFF3.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/AFF4.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/AFG1L.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/AFG3L2.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/AFM.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/AFMID.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/AFP.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/AFTPH.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/AGA.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/AGAP1.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/AGAP2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/AGBL1.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/AGBL2.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/AGBL3.fas, in total 381 sequences.
Successfuly read hg38_species_name_cleaned/AGBL4.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/AGBL5.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/AGER.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AGFG1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/AGFG2.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/AGGF1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AGK.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/AGL.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/AGMAT.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/AGMO.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/AGO1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/AGO2.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/AGO3.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/AGO4.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/AGPAT1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/AGPAT2.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/AGPAT3.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/AGPAT4.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/AGPAT5.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AGPS.fas, in total 392 sequences.
Successfuly read hg38_species_name_cleaned/AGR2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/AGR3.fas, in total 328 sequences.
Successfuly read hg38_species_name_cleaned/AGRN.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/AGRP.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/AGT.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/AGTPBP1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/AGTR1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/AGTR2.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/AGTRAP.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/AGXT.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/AGXT2.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/AHCTF1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AHCY.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/AHCYL1.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/AHCYL2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/AHDC1.fas, in total 363 sequences.
Successfuly read hg38_species_name_cleaned/AHI1.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/AHR.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/AHRR.fas, in total 392 sequences.
Successfuly read hg38_species_name_cleaned/AHSA1.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/AHSG.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/AHSP.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/AICDA.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/AIDA.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/AIF1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AIF1L.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/AIFM1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/AIFM2.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/AIFM3.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/AIG1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/AIM2.fas, in total 198 sequences.
Successfuly read hg38_species_name_cleaned/AIMP1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/AIMP2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/AIP.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/AIPL1.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/AIRE.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/AJAP1.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/AJM1.fas, in total 280 sequences.
Successfuly read hg38_species_name_cleaned/AJUBA.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/AK1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/AK2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/AK3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AK4.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/AK5.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AK6.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/AK7.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AK8.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/AK9.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/AKAIN1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/AKAP1.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/AKAP10.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/AKAP11.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/AKAP14.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/AKAP17A.fas, in total 265 sequences.
Successfuly read hg38_species_name_cleaned/AKAP3.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/AKAP4.fas, in total 378 sequences.
Successfuly read hg38_species_name_cleaned/AKAP5.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/AKAP7.fas, in total 386 sequences.
Successfuly read hg38_species_name_cleaned/AKAP8.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/AKAP8L.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/AKAP9.fas, in total 383 sequences.
Successfuly read hg38_species_name_cleaned/AKIP1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/AKIRIN1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/AKIRIN2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/AKNA.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/AKNAD1.fas, in total 346 sequences.
Successfuly read hg38_species_name_cleaned/AKR1A1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/AKR1B1.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/AKR1D1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/AKR1E2.fas, in total 307 sequences.
Successfuly read hg38_species_name_cleaned/AKT1.fas, in total 385 sequences.
Successfuly read hg38_species_name_cleaned/AKT1S1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/AKT2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/AKT3.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/AKTIP.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/AL022312.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AL031178.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/AL034430.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/AL035699.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/AL162231.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/AL353579.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/AL359092.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ALAD.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/ALAS1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ALAS2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/ALB.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ALCAM.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ALDH16A1.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/ALDH18A1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ALDH1A1.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/ALDH1A2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ALDH1A3.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ALDH1B1.fas, in total 296 sequences.
Successfuly read hg38_species_name_cleaned/ALDH1L1.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/ALDH1L2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ALDH2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ALDH3A1.fas, in total 400 sequences.
Successfuly read hg38_species_name_cleaned/ALDH3A2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ALDH3B1.fas, in total 400 sequences.
Successfuly read hg38_species_name_cleaned/ALDH3B2.fas, in total 340 sequences.
Successfuly read hg38_species_name_cleaned/ALDH4A1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ALDH5A1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ALDH6A1.fas, in total 433 sequences.
